epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,13149.4,0.91845,0.98797,1.15676,0.48951,0.91902,0.91432,0.6948,0.92189,2.16869,1.03308,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13365.4,0.92249,0.99091,1.15804,0.51166,0.92521,0.91407,0.6922,0.93311,2.21558,1.03821,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13581.6,0.91881,0.98154,1.15409,0.56688,0.92125,0.91601,0.68984,0.9334,2.31652,1.03423,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13797.9,0.90812,0.98272,1.14804,0.53174,0.92323,0.91814,0.6892,0.93266,2.1239,1.03703,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14014.4,0.91384,0.98594,1.1512,0.53011,0.92125,0.91721,0.69198,0.92761,2.15775,1.04049,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,14230.3,0.90203,0.97802,1.14861,0.5642,0.9768,0.92885,0.70858,0.90868,2.1311,1.03638,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14446.5,0.89972,0.97014,1.14516,0.50904,0.92323,0.91542,0.68907,0.9374,2.12,1.0395,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14663,0.90742,0.96776,1.14872,0.45199,0.92125,0.91456,0.69415,0.90738,2.03629,1.03048,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14879.4,0.88926,0.96065,1.1402,0.47821,0.92323,0.91451,0.69817,0.91206,2.01512,1.03546,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15096,0.88194,0.94023,1.13425,0.44821,0.92949,0.91581,0.689,0.92026,1.97835,1.04175,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,15312.2,0.88322,0.94716,1.13181,0.48128,0.92735,0.91729,0.69965,0.90222,2.05422,1.0361,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15528.7,0.87953,0.92764,1.13116,0.46146,0.92735,0.91651,0.69473,0.88666,1.99812,1.02587,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15745,0.8748,0.93581,1.12804,0.47182,0.92735,0.91448,0.69362,0.90358,2.0148,1.03724,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15961.3,0.8678,0.91816,1.12302,0.44285,0.92949,0.9146,0.68969,0.90186,1.85243,1.03778,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,16177.4,0.86395,0.91456,1.12384,0.44644,0.92735,0.91347,0.69014,0.90972,1.84863,1.03477,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16393.6,0.85767,0.90507,1.11923,0.47731,0.98306,0.92191,0.69959,0.91874,1.95781,1.04253,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16609.7,0.85539,0.91164,1.12344,0.4614,0.98107,0.92338,0.69834,0.91018,1.89514,1.03898,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
